"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "JSON", "HTML", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\package-lock.json", "JSON", 0, 0, 0, 0, 3056, 0, 0, 0, 0, 0, 0, 1, 3057
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\App.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\Pages\Login.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 171
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\axios\api.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\index.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\layouts\Navbar.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 181
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\admin\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\package-lock.json", "JSON", 0, 0, 0, 0, 3089, 0, 0, 0, 0, 0, 0, 1, 3090
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\package.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\App.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\assets\icons\cart.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\axios\api.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 55
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\context\AuthProvider.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\index.css", "PostCSS", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 16, 103
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\layouts\Navbar.jsx", "JavaScript JSX", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 236
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\main.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Cart\Cart.jsx", "JavaScript JSX", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 255
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Checkout\Checkout.jsx", "JavaScript JSX", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 301
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Favourites\Favourites.jsx", "JavaScript JSX", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 330
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 535, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41, 583
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Login\ForgetPassword.jsx", "JavaScript JSX", 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 313
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 171
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Login\NewPassword.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 140
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\MyOrders\MyOrders.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 178
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Order\Order.jsx", "JavaScript JSX", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 284
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Product\Product.jsx", "JavaScript JSX", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 401
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 177
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\services\ProtectedRoutes.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\utils\OtpInput.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
